sr_no,sector,line_ministry,implementing_agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion_date,revised_completion_date,sanction_date,cost_overrun_percent,expenditure_ratio,snapshot_month
1358,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,619010,Up-gradation to 2 lane with paved shoutders of Pawlrang - Rulchawm section- of NH-102B of Aizawl - Imphal Economic Corridor from Existing Chainage km 72.030 to km 104.129 including 2.459 km re-alignment section from Tuivai River to Rulchawm connecting km 48.150 of NH-6 [Design Chainage km 68.170 to km 98.579] in the State of Mizoram under Bharatmala Pariyojna on EPC mode under NHO-NE Package-3 Keifang- Tuivai Pkg-3,501,0.0,305.45,75,08/05/2025,12/07/2025,13/12/2021,-100.0,60.968063872255485,Jan_2026
1359,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618394,Up-gradation to 2-lane with Paved Shoulder from Km 12.850 to Km20.300 of 7.450Km length on Goha-Khellani section and a link road to Goha village of 2.016 km on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-1,228,225.37,159.56,90,01/04/2022,04/06/2025,14/07/2020,-1.1535087719298227,69.98245614035088,Jan_2026
1360,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618398,Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of 8.730 Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Mode Package II,211,0.0,172.27,94,01/04/2022,04/06/2025,14/07/2020,-100.0,81.64454976303318,Jan_2026
1361,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618341,Up-gradation to 2-lane with paved shoulders of Ngopa - Pawlrang section of NH 102B of Aizawl - Imphal Economic Corridor from Existing Chainage km 32.796 to km 72.030 [Design Chainage km 31.280 to km 68.170] in the State of Mizoram under Bharatmala Pariyojna on EPC mode under NHO-NE Package-2 Keifang- Tuivai Pkg-2,524,0.0,394.29,95,22/02/2025,01/06/2026,21/09/2021,-100.0,75.24618320610688,Jan_2026
1362,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618406,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH-144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,322,0.0,0.0,0,11/07/2021,04/05/2022,14/03/2018,-100.0,0.0,Jan_2026
1363,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617933,Up-gradation to four lane/ Two lane with paved shoulders configuration of Kalyan - Murbad - Malshej Ghat - Nirmal Road NH- 61 km 15/200 to Km 38/00 and from Km. 58/00 to Km 84/00 Design length 48.58 km of NH-61 on EPC Mode in Thane District in the state of Maharashtra,984,0.0,0.0,88,31/08/2026,,14/02/2023,-100.0,0.0,Jan_2026
1364,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618024,Up-gradation to two lane with paved shoulder configuration of NH-354 Section Arifkes-Ferozepur-Muktsar-Malaut from Km 201.500 to Km 212.500 & Km 229.690 to Km 269.960 and strengthening of existing pavement from Km 212.500 to Km 229.690 excluding Km 218.500 to 223.690 of NH-354 on EPC Mode in the State of Punjab. Job No. NH-354-PB-2020-21-532,263,0.0,0.0,72,15/04/2025,,12/03/2021,-100.0,0.0,Jan_2026
1365,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617971,Up-gradation to Two/Four lane with paved shoulder Configuration of Kondagaon- Narayanpur from design ch. 0.00 - 48.693 Design Length 47.493 Km. 1.20 Km. retained on NH-130D under EPC mode in the State Chhattisgarh.,322,0.0,1.1,20,16/03/2027,,29/12/2022,-100.0,0.34161490683229817,Jan_2026
1366,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618136,Upgradatiobn and Rehabilitation of Section of NH 361 F from Parli 00/000 to Gangakhed 30/400 to Two Lanes with paved shoulder / Four lane configurations on EPC mode in the State of Maharashtra.,224,0.0,0.0,87,16/09/2023,10/08/2024,31/03/2021,-100.0,0.0,Jan_2026
1367,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618019,Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,365,0.0,0.0,88,19/05/2025,,15/03/2022,-100.0,0.0,Jan_2026
1368,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619155,Upgradation and 4L of Haridwar Bypass from Km 0.000 Km 188.100 of NH-58 to Km. 15.100 Km 5.100 of NH 74 PKg-1,1603,1423.89,538.24,71,29/10/2024,01/04/2026,22/11/2021,-11.173424828446656,33.577043044291955,Jan_2026
1369,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617914,Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,241,250.09,0.0,0,11/12/2025,,14/03/2022,3.771784232365147,0.0,Jan_2026
1370,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618967,Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,295,295.06,101.52,41,05/08/2026,,06/03/2024,0.020338983050848226,34.4135593220339,Jan_2026
1371,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617915,Upgradation of Dindori-Sagartola-kabichabutra MP-CG border section of NH -45 from km 000Design to km 77.00 Design to Two lane with paved shoulder configration along with one time improvement in 04 nos. of bypaased built-up areas in a total length of 9.1 km in the state of Madhya Pradesh on EPC mode.,329,319.09,0.0,93,18/09/2025,,12/01/2022,-3.0121580547112536,0.0,Jan_2026
1372,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618098,"Upgradation of exhisting 2 lane flexible pavement to 2 lane paved shoulders rigid pavement from design chainage Km 66.00 to Design Km 82.440 Start of Kolhapur Municipal corporation near Phulewadi to kale, design length 16.440 Km section on Talere Gaganbawada-Kolhapur road NH 166G in the state of Maharashtra on EPC mode",168,0.0,0.0,93,13/05/2024,01/05/2025,31/03/2021,-100.0,0.0,Jan_2026
1373,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618107,Upgradation of Mehsana-Visnagar-vadnagar-Kheralu-Idar section from km 0/00 to 81/300 of NH 168G Mehsana to Idar in the State of GujaratTotal Length 81.300 Km on Hybrid Annuity Mode HAM,1155,0.0,0.91,2,17/06/2028,,26/02/2024,-100.0,0.0787878787878788,Jan_2026
1374,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618085,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,305,293.74,0.0,70,25/10/2024,09/02/2025,06/12/2021,-3.6918032786885213,0.0,Jan_2026
1375,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618118,Upgradation of two lane paved shoulder from Shahpura existing km. 0.00 Design Ch. 000 to Thanagazi existing Km.37352 Design Ch. 36810 of NH-248A on EPC mode in the State of Rajasthan.,174,0.0,63.51,90,31/07/2024,31/01/2026,08/03/2022,-100.0,36.5,Jan_2026
1376,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618787,"Upgradation to 4L PS from Bhimasar, Junction of NH-41 to Anjar- Bhuj upto Airport Junction from Km 0.000 to Km 65.478 of NH-341",1373,1687.25,751.31,96,29/06/2025,,11/03/2022,22.887836853605243,54.720320466132556,Jan_2026
